,algo,init_type,eval_count,parameters,energy,std,optimizer_name
48,1,,49,"{'gammas': array([-5.68490148]), 'betas': array([-3.46883245])}",-0.9273376536066941,0.0,NELDER_MEAD
49,1,,50,"{'gammas': array([-5.68449943]), 'betas': array([-3.46782097])}",-0.927343226109064,0.0,NELDER_MEAD
50,1,,51,"{'gammas': array([-5.68283919]), 'betas': array([-3.46765235])}",-0.9273370995158625,0.0,NELDER_MEAD
51,1,,52,"{'gammas': array([-5.68480747]), 'betas': array([-3.46809492])}",-0.927343536743957,0.0,NELDER_MEAD
52,1,,53,"{'gammas': array([-5.68550357]), 'betas': array([-3.46784207])}",-0.9273408619136544,0.0,NELDER_MEAD
53,1,,54,"{'gammas': array([-5.68422839]), 'betas': array([-3.46801588])}",-0.9273435387717843,0.0,NELDER_MEAD
54,1,,55,"{'gammas': array([-5.68453643]), 'betas': array([-3.46828983])}",-0.9273431176116622,0.0,NELDER_MEAD
55,1,,56,"{'gammas': array([-5.68450868]), 'betas': array([-3.46793819])}",-0.9273436084175211,0.0,NELDER_MEAD
56,1,,57,"{'gammas': array([-5.68392959]), 'betas': array([-3.46785915])}",-0.927342795072272,0.0,NELDER_MEAD
57,1,,58,"{'gammas': array([-5.684588]), 'betas': array([-3.46803598])}",-0.9273437075072143,0.0,NELDER_MEAD
58,1,,59,"{'gammas': array([-5.68486829]), 'betas': array([-3.46795828])}",-0.9273433304464529,0.0,NELDER_MEAD
59,1,,60,"{'gammas': array([-5.68438836]), 'betas': array([-3.46800148])}",-0.9273436723674294,0.0,NELDER_MEAD
60,1,,61,"{'gammas': array([-5.68446768]), 'betas': array([-3.46809927])}",-0.9273436775478119,0.0,NELDER_MEAD
61,1,,62,"{'gammas': array([-5.68466732]), 'betas': array([-3.46813377])}",-0.9273436126627584,0.0,NELDER_MEAD
62,1,,63,"{'gammas': array([-5.6844581]), 'betas': array([-3.46803455])}",-0.9273437108144058,0.0,NELDER_MEAD
63,1,,64,"{'gammas': array([-5.68457842]), 'betas': array([-3.46797126])}",-0.9273436515175975,0.0,NELDER_MEAD
64,1,,65,"{'gammas': array([-5.68449537]), 'betas': array([-3.46806727])}",-0.9273437113775788,0.0,NELDER_MEAD
65,1,,66,"{'gammas': array([-3.2463042]), 'betas': array([-3.25136427])}",0.04331497873364318,0.0,NELDER_MEAD
66,1,,67,"{'gammas': array([-3.2463042]), 'betas': array([-3.41393248])}",0.08847625501758821,0.0,NELDER_MEAD
67,1,,68,"{'gammas': array([-3.40861941]), 'betas': array([-3.25136427])}",0.09946936504776188,0.0,NELDER_MEAD
68,1,,69,"{'gammas': array([-3.08398899]), 'betas': array([-3.41393248])}",-0.05170328413007801,0.0,NELDER_MEAD
69,1,,70,"{'gammas': array([-2.92167378]), 'betas': array([-3.49521659])}",-0.22194029062187898,0.0,NELDER_MEAD
70,1,,71,"{'gammas': array([-2.92167378]), 'betas': array([-3.33264837])}",-0.1483662207303545,0.0,NELDER_MEAD
71,1,,72,"{'gammas': array([-2.59704336]), 'betas': array([-3.57650069])}",-0.465974770727388,0.0,NELDER_MEAD
72,1,,73,"{'gammas': array([-2.27241294]), 'betas': array([-3.73906891])}",-0.4347988709875126,0.0,NELDER_MEAD
73,1,,74,"{'gammas': array([-2.59704336]), 'betas': array([-3.73906891])}",-0.4154595817116961,0.0,NELDER_MEAD
74,1,,75,"{'gammas': array([-2.27241294]), 'betas': array([-3.82035301])}",-0.38857368726507785,0.0,NELDER_MEAD
75,1,,76,"{'gammas': array([-2.43472815]), 'betas': array([-3.73906891])}",-0.4559831703683088,0.0,NELDER_MEAD
76,1,,77,"{'gammas': array([-2.43472815]), 'betas': array([-3.57650069])}",-0.4838041966075671,0.0,NELDER_MEAD
77,1,,78,"{'gammas': array([-2.35357055]), 'betas': array([-3.49521659])}",-0.42177115029159434,0.0,NELDER_MEAD
78,1,,79,"{'gammas': array([-2.59704336]), 'betas': array([-3.41393248])}",-0.36734617964326033,0.0,NELDER_MEAD
79,1,,80,"{'gammas': array([-2.47530695]), 'betas': array([-3.6577848])}",-0.4880275775673053,0.0,NELDER_MEAD
80,1,,81,"{'gammas': array([-2.31299174]), 'betas': array([-3.6577848])}",-0.4657157705380777,0.0,NELDER_MEAD
81,1,,82,"{'gammas': array([-2.52603046]), 'betas': array([-3.59682172])}",-0.4860303026748465,0.0,NELDER_MEAD
82,1,,83,"{'gammas': array([-2.56660926]), 'betas': array([-3.67810583])}",-0.4632643486958381,0.0,NELDER_MEAD
83,1,,84,"{'gammas': array([-2.46769843]), 'betas': array([-3.60190198])}",-0.49094515753133317,0.0,NELDER_MEAD
84,1,,85,"{'gammas': array([-2.41697493]), 'betas': array([-3.66286506])}",-0.48666747003912614,0.0,NELDER_MEAD
85,1,,86,"{'gammas': array([-2.44423881]), 'betas': array([-3.64635422])}",-0.4905982954369289,0.0,NELDER_MEAD
86,1,,87,"{'gammas': array([-2.43663028]), 'betas': array([-3.5904714])}",-0.4875131147841683,0.0,NELDER_MEAD
87,1,,88,"{'gammas': array([-2.46563779]), 'betas': array([-3.64095645])}",-0.4911970089181751,0.0,NELDER_MEAD
88,1,,89,"{'gammas': array([-2.48909741]), 'betas': array([-3.5965042])}",-0.48976136224383676,0.0,NELDER_MEAD
89,1,,90,"{'gammas': array([-2.45545346]), 'betas': array([-3.63389172])}",-0.4918722085130539,0.0,NELDER_MEAD
90,1,,91,"{'gammas': array([-2.45339282]), 'betas': array([-3.67294619])}",-0.48530015588094855,0.0,NELDER_MEAD
91,1,,92,"{'gammas': array([-2.46412203]), 'betas': array([-3.61966303])}",-0.49216585656464207,0.0,NELDER_MEAD
92,1,,93,"{'gammas': array([-2.4539377]), 'betas': array([-3.6125983])}",-0.4917128212470113,0.0,NELDER_MEAD
93,1,,94,"{'gammas': array([-2.45686272]), 'betas': array([-3.61968784])}",-0.49211480461377166,0.0,NELDER_MEAD
94,1,,95,"{'gammas': array([-2.46553129]), 'betas': array([-3.60545915])}",-0.4913251923649861,0.0,NELDER_MEAD
95,1,,96,"{'gammas': array([-2.45797291]), 'betas': array([-3.62678358])}",-0.4921544212280159,0.0,NELDER_MEAD
96,1,,97,"{'gammas': array([-2.46523222]), 'betas': array([-3.62675877])}",-0.4921379639326804,0.0,NELDER_MEAD
97,1,,98,"{'gammas': array([-2.46313985]), 'betas': array([-3.62499104])}",-0.4921873364533467,0.0,NELDER_MEAD
98,1,,99,"{'gammas': array([-2.46928896]), 'betas': array([-3.61787049])}",-0.49208188509515044,0.0,NELDER_MEAD
99,1,,100,"{'gammas': array([-2.46080193]), 'betas': array([-3.62455531])}",-0.49219494076748616,0.0,NELDER_MEAD
100,1,,101,"{'gammas': array([-2.45981975]), 'betas': array([-3.62988331])}",-0.4920759349006786,0.0,NELDER_MEAD
101,1,,102,"{'gammas': array([-2.46304646]), 'betas': array([-3.6222181])}",-0.4921977463100291,0.0,NELDER_MEAD
102,1,,103,"{'gammas': array([-2.46070853]), 'betas': array([-3.62178237])}",-0.4921917650847687,0.0,NELDER_MEAD
103,1,,104,"{'gammas': array([-2.46131636]), 'betas': array([-3.62258454])}",-0.49219911812463035,0.0,NELDER_MEAD
104,1,,105,"{'gammas': array([-2.46356089]), 'betas': array([-3.62024733])}",-0.4921770114571872,0.0,NELDER_MEAD
105,1,,106,"{'gammas': array([-2.46149167]), 'betas': array([-3.62347831])}",-0.49220051789084834,0.0,NELDER_MEAD
106,1,,107,"{'gammas': array([-2.45976157]), 'betas': array([-3.62384475])}",-0.4921944585939057,0.0,NELDER_MEAD
107,1,,108,"{'gammas': array([-2.46222523]), 'betas': array([-3.62262476])}",-0.4922001843003956,0.0,NELDER_MEAD
108,1,,109,"{'gammas': array([-2.46240054]), 'betas': array([-3.62351854])}",-0.49220019991612174,0.0,NELDER_MEAD
109,1,,110,"{'gammas': array([-2.46166697]), 'betas': array([-3.62437209])}",-0.49219688369257275,0.0,NELDER_MEAD
110,1,,111,"{'gammas': array([-2.46208567]), 'betas': array([-3.62306159])}",-0.49220094347769416,0.0,NELDER_MEAD
111,1,,112,"{'gammas': array([-2.4611768]), 'betas': array([-3.62302137])}",-0.49219999446361734,0.0,NELDER_MEAD
112,1,,113,"{'gammas': array([-2.4620946]), 'betas': array([-3.62339425])}",-0.49220076558581594,0.0,NELDER_MEAD
113,1,,114,"{'gammas': array([-2.46268861]), 'betas': array([-3.62297753])}",-0.49220029659205267,0.0,NELDER_MEAD
114,1,,115,"{'gammas': array([-2.4617909]), 'betas': array([-3.62335312])}",-0.49220085911262984,0.0,NELDER_MEAD
115,1,,116,"{'gammas': array([-2.46178197]), 'betas': array([-3.62302046])}",-0.4922008575028663,0.0,NELDER_MEAD
116,1,,117,"{'gammas': array([-2.46186013]), 'betas': array([-3.62311391])}",-0.4922009556390542,0.0,NELDER_MEAD
117,1,,118,"{'gammas': array([-2.46215489]), 'betas': array([-3.62282239])}",-0.49220066019689973,0.0,NELDER_MEAD
118,1,,119,"{'gammas': array([-2.4618819]), 'betas': array([-3.62322043])}",-0.49220096412544995,0.0,NELDER_MEAD
119,1,,120,"{'gammas': array([-2.46165636]), 'betas': array([-3.62327275])}",-0.49220084636130734,0.0,NELDER_MEAD
120,1,,121,"{'gammas': array([-2.46197834]), 'betas': array([-3.62311438])}",-0.4922009746536504,0.0,NELDER_MEAD
121,1,,122,"{'gammas': array([-2.46200011]), 'betas': array([-3.62322091])}",-0.49220096445073747,0.0,NELDER_MEAD
122,1,,123,"{'gammas': array([-2.46209656]), 'betas': array([-3.62311486])}",-0.4922009559535744,0.0,NELDER_MEAD
123,1,,124,"{'gammas': array([-2.46193556]), 'betas': array([-3.62319404])}",-0.49220097594687906,0.0,NELDER_MEAD
124,1,,125,"{'gammas': array([-2.81157212]), 'betas': array([2.07500847])}",0.18730843025784216,0.0,NELDER_MEAD
125,1,,126,"{'gammas': array([-2.81157212]), 'betas': array([2.17875889])}",0.10113794907394447,0.0,NELDER_MEAD
126,1,,127,"{'gammas': array([-2.95215073]), 'betas': array([2.07500847])}",0.13792143586904992,0.0,NELDER_MEAD
127,1,,128,"{'gammas': array([-2.95215073]), 'betas': array([2.17875889])}",0.08722611745054001,0.0,NELDER_MEAD
128,1,,129,"{'gammas': array([-3.02244003]), 'betas': array([2.23063411])}",0.04314444762974947,0.0,NELDER_MEAD
129,1,,130,"{'gammas': array([-2.88186143]), 'betas': array([2.33438453])}",-0.04100497786792824,0.0,NELDER_MEAD
130,1,,131,"{'gammas': array([-2.84671677]), 'betas': array([2.46407256])}",-0.18286120167797432,0.0,NELDER_MEAD
131,1,,132,"{'gammas': array([-3.05758468]), 'betas': array([2.51594777])}",-0.05590545623917102,0.0,NELDER_MEAD
132,1,,133,"{'gammas': array([-2.88186143]), 'betas': array([2.74938622])}",-0.26670407777652055,0.0,NELDER_MEAD
133,1,,134,"{'gammas': array([-2.81157212]), 'betas': array([3.00876228])}",-0.14959088743966908,0.0,NELDER_MEAD
134,1,,135,"{'gammas': array([-2.67099352]), 'betas': array([2.69751101])}",-0.4341120896110916,0.0,NELDER_MEAD
135,1,,136,"{'gammas': array([-2.47769793]), 'betas': array([2.78829263])}",-0.4463173270150172,0.0,NELDER_MEAD
136,1,,137,"{'gammas': array([-2.51284259]), 'betas': array([3.0736063])}",-0.09868888829016587,0.0,NELDER_MEAD
137,1,,138,"{'gammas': array([-2.76324823]), 'betas': array([2.61645599])}",-0.355029969403911,0.0,NELDER_MEAD
138,1,,139,"{'gammas': array([-2.35908473]), 'betas': array([2.6553624])}",-0.4788875091684728,0.0,NELDER_MEAD
139,1,,140,"{'gammas': array([-2.09769639]), 'betas': array([2.60835049])}",-0.3552076911218677,0.0,NELDER_MEAD
140,1,,141,"{'gammas': array([-2.07353444]), 'betas': array([2.82719904])}",-0.23738907595029163,0.0,NELDER_MEAD
141,1,,142,"{'gammas': array([-2.59081978]), 'betas': array([2.66914175])}",-0.47004271464646796,0.0,NELDER_MEAD
142,1,,143,"{'gammas': array([-2.47220658]), 'betas': array([2.53621152])}",-0.4469007996000103,0.0,NELDER_MEAD
143,1,,144,"{'gammas': array([-2.47357942]), 'betas': array([2.5992318])}",-0.48059115587096113,0.0,NELDER_MEAD
144,1,,145,"{'gammas': array([-2.24184437]), 'betas': array([2.58545245])}",-0.43488495011809225,0.0,NELDER_MEAD
145,1,,146,"{'gammas': array([-2.50357593]), 'betas': array([2.64821943])}",-0.48899044945834236,0.0,NELDER_MEAD
146,1,,147,"{'gammas': array([-2.61807061]), 'betas': array([2.59208883])}",-0.4364329945001928,0.0,NELDER_MEAD
147,1,,148,"{'gammas': array([-2.4238312]), 'betas': array([2.63954401])}",-0.48978357764575337,0.0,NELDER_MEAD
148,1,,149,"{'gammas': array([-2.45382771]), 'betas': array([2.68853163])}",-0.48953928136761954,0.0,NELDER_MEAD
149,1,,150,"{'gammas': array([-2.37408299]), 'betas': array([2.67985621])}",-0.47946702218491255,0.0,NELDER_MEAD
150,1,,151,"{'gammas': array([-2.47120269]), 'betas': array([2.65612862])}",-0.49200853253322663,0.0,NELDER_MEAD
151,1,,152,"{'gammas': array([-2.44120618]), 'betas': array([2.607141])}",-0.4845637422852944,0.0,NELDER_MEAD
152,1,,153,"{'gammas': array([-2.45067233]), 'betas': array([2.66818398])}",-0.4917527455422865,0.0,NELDER_MEAD
153,1,,154,"{'gammas': array([-2.49804382]), 'betas': array([2.68476859])}",-0.48942633325980156,0.0,NELDER_MEAD
154,1,,155,"{'gammas': array([-2.44238436]), 'betas': array([2.65085015])}",-0.4916087720760428,0.0,NELDER_MEAD
155,1,,156,"{'gammas': array([-2.47949067]), 'betas': array([2.67346245])}",-0.49146801607912766,0.0,NELDER_MEAD
156,1,,157,"{'gammas': array([-2.45166094]), 'betas': array([2.65650323])}",-0.4920556010044231,0.0,NELDER_MEAD
157,1,,158,"{'gammas': array([-2.4721913]), 'betas': array([2.64444788])}",-0.491203569831861,0.0,NELDER_MEAD
158,1,,159,"{'gammas': array([-2.45605207]), 'betas': array([2.66224995])}",-0.4921276769307857,0.0,NELDER_MEAD
159,1,,160,"{'gammas': array([-2.43651031]), 'betas': array([2.66262455])}",-0.49125647229622005,0.0,NELDER_MEAD
160,1,,161,"{'gammas': array([-2.4625296]), 'betas': array([2.65775261])}",-0.4921842592882395,0.0,NELDER_MEAD
161,1,,162,"{'gammas': array([-2.46692074]), 'betas': array([2.66349933])}",-0.4921482220104504,0.0,NELDER_MEAD
162,1,,163,"{'gammas': array([-2.47339826]), 'betas': array([2.65900199])}",-0.49201071457025375,0.0,NELDER_MEAD
163,1,,164,"{'gammas': array([-2.46038862]), 'betas': array([2.66143796])}",-0.4921898125179191,0.0,NELDER_MEAD
164,1,,165,"{'gammas': array([-2.45599748]), 'betas': array([2.65569124])}",-0.49212196253985685,0.0,NELDER_MEAD
165,1,,166,"{'gammas': array([-2.46418992]), 'betas': array([2.66154731])}",-0.49219062912971073,0.0,NELDER_MEAD
166,1,,167,"{'gammas': array([-2.46204894]), 'betas': array([2.66523266])}",-0.4921222287878895,0.0,NELDER_MEAD
167,1,,168,"{'gammas': array([-2.46240944]), 'betas': array([2.65962262])}",-0.49220006980749775,0.0,NELDER_MEAD
168,1,,169,"{'gammas': array([-2.46621074]), 'betas': array([2.65973197])}",-0.4921752812560318,0.0,NELDER_MEAD
169,1,,170,"{'gammas': array([-2.46184415]), 'betas': array([2.66101146])}",-0.49219802495470816,0.0,NELDER_MEAD
170,1,,171,"{'gammas': array([-2.46006366]), 'betas': array([2.65908677])}",-0.4921951690132261,0.0,NELDER_MEAD
171,1,,172,"{'gammas': array([-2.46109523]), 'betas': array([2.65970191])}",-0.492199913005282,0.0,NELDER_MEAD
172,1,,173,"{'gammas': array([-2.46166051]), 'betas': array([2.65831307])}",-0.49219274584058936,0.0,NELDER_MEAD
173,1,,174,"{'gammas': array([-2.46179824]), 'betas': array([2.66033686])}",-0.4922006166770513,0.0,NELDER_MEAD
174,1,,175,"{'gammas': array([-2.46311245]), 'betas': array([2.66025757])}",-0.4921992893504993,0.0,NELDER_MEAD
175,1,,176,"{'gammas': array([-2.46159953]), 'betas': array([2.65984082])}",-0.4922007615851891,0.0,NELDER_MEAD
176,1,,177,"{'gammas': array([-2.46098834]), 'betas': array([2.66055507])}",-0.4921984185084713,0.0,NELDER_MEAD
177,1,,178,"{'gammas': array([-2.46205416]), 'betas': array([2.65985573])}",-0.49220086871511437,0.0,NELDER_MEAD
178,1,,179,"{'gammas': array([-2.46185545]), 'betas': array([2.65935969])}",-0.492199727760999,0.0,NELDER_MEAD
179,1,,180,"{'gammas': array([-2.46181254]), 'betas': array([2.66009257])}",-0.49220092774999025,0.0,NELDER_MEAD
180,1,,181,"{'gammas': array([-2.46226717]), 'betas': array([2.66010748])}",-0.4922008593755751,0.0,NELDER_MEAD
181,1,,182,"{'gammas': array([-2.46210026]), 'betas': array([2.66004081])}",-0.4922009559661154,0.0,NELDER_MEAD
182,1,,183,"{'gammas': array([-2.46185865]), 'betas': array([2.66027765])}",-0.49220075814537845,0.0,NELDER_MEAD
183,1,,184,"{'gammas': array([-2.46200528]), 'betas': array([2.65996121])}",-0.49220096228983123,0.0,NELDER_MEAD
184,1,,185,"{'gammas': array([-2.462293]), 'betas': array([2.65990946])}",-0.49220075806288893,0.0,NELDER_MEAD
185,1,,186,"{'gammas': array([-2.46193266]), 'betas': array([2.66004679])}",-0.4922009769487268,0.0,NELDER_MEAD
186,1,,187,"{'gammas': array([-2.46183768]), 'betas': array([2.65996719])}",-0.4922009548317915,0.0,NELDER_MEAD
187,1,,188,"{'gammas': array([-2.46203462]), 'betas': array([2.66002241])}",-0.49220097275064234,0.0,NELDER_MEAD
188,1,,189,"{'gammas': array([-2.46196199]), 'betas': array([2.66010799])}",-0.4922009607877814,0.0,NELDER_MEAD
189,1,,190,"{'gammas': array([-2.46199446]), 'betas': array([2.65999791])}",-0.4922009752702592,0.0,NELDER_MEAD
190,1,,191,"{'gammas': array([-2.4618925]), 'betas': array([2.66002229])}",-0.4922009733216813,0.0,NELDER_MEAD
191,1,,192,"{'gammas': array([-2.46192803]), 'betas': array([2.66002232])}",-0.4922009782718707,0.0,NELDER_MEAD
192,1,,193,"{'gammas': array([0.55827524]), 'betas': array([5.31682056])}",1.3230947919410592,0.0,NELDER_MEAD
193,1,,194,"{'gammas': array([0.55827524]), 'betas': array([5.58266159])}",0.19710943106956175,0.0,NELDER_MEAD
194,1,,195,"{'gammas': array([0.586189]), 'betas': array([5.31682056])}",1.3627482092402432,0.0,NELDER_MEAD
195,1,,196,"{'gammas': array([0.53036148]), 'betas': array([5.58266159])}",0.16939309694165944,0.0,NELDER_MEAD
196,1,,197,"{'gammas': array([0.50244771]), 'betas': array([5.7155821])}",-0.43349352865632496,0.0,NELDER_MEAD
197,1,,198,"{'gammas': array([0.50244771]), 'betas': array([5.98142313])}",-0.8960516683683855,0.0,NELDER_MEAD
198,1,,199,"{'gammas': array([0.47453395]), 'betas': array([6.31372442])}",0.13752514914110558,0.0,NELDER_MEAD
199,1,,200,"{'gammas': array([0.44662019]), 'betas': array([6.11434365])}",-0.6237516116715125,0.0,NELDER_MEAD
200,1,,201,"{'gammas': array([0.44662019]), 'betas': array([6.38018467])}",0.42479601217384266,0.0,NELDER_MEAD
201,1,,202,"{'gammas': array([0.48849083]), 'betas': array([5.88173275])}",-0.8606366053445795,0.0,NELDER_MEAD
202,1,,203,"{'gammas': array([0.54431836]), 'betas': array([5.74881223])}",-0.5402124190185571,0.0,NELDER_MEAD
203,1,,204,"{'gammas': array([0.47104473]), 'betas': array([6.02296079])}",-0.8352490974636055,0.0,NELDER_MEAD
204,1,,205,"{'gammas': array([0.51989382]), 'betas': array([5.84019508])}",-0.8005262699593634,0.0,NELDER_MEAD
205,1,,206,"{'gammas': array([0.483257]), 'betas': array([5.97726937])}",-0.8880990555178389,0.0,NELDER_MEAD
206,1,,207,"{'gammas': array([0.49721388]), 'betas': array([6.07695975])}",-0.7511337798258718,0.0,NELDER_MEAD
207,1,,208,"{'gammas': array([0.4906716]), 'betas': array([5.9305395])}",-0.8982851333832318,0.0,NELDER_MEAD
208,1,,209,"{'gammas': array([0.50986231]), 'betas': array([5.93469326])}",-0.9077111085834421,0.0,NELDER_MEAD
209,1,,210,"{'gammas': array([0.52316496]), 'betas': array([5.91340521])}",-0.9017504949655493,0.0,NELDER_MEAD
210,1,,211,"{'gammas': array([0.49808619]), 'betas': array([5.88380963])}",-0.8663676768480779,0.0,NELDER_MEAD
211,1,,212,"{'gammas': array([0.50135733]), 'betas': array([5.95701976])}",-0.9051896003631801,0.0,NELDER_MEAD
212,1,,213,"{'gammas': array([0.52054804]), 'betas': array([5.96117352])}",-0.9124928968898085,0.0,NELDER_MEAD
213,1,,214,"{'gammas': array([0.53548627]), 'betas': array([5.97649053])}",-0.9123489899737489,0.0,NELDER_MEAD
214,1,,215,"{'gammas': array([0.52905302]), 'betas': array([5.93884703])}",-0.9152380577490714,0.0,NELDER_MEAD
215,1,,216,"{'gammas': array([0.54290086]), 'betas': array([5.92976067])}",-0.9157269156600367,0.0,NELDER_MEAD
216,1,,217,"{'gammas': array([0.5535866]), 'betas': array([5.95624092])}",-0.9227901454248602,0.0,NELDER_MEAD
217,1,,218,"{'gammas': array([0.57544874]), 'betas': array([5.96701476])}",-0.9246946904613407,0.0,NELDER_MEAD
218,1,,219,"{'gammas': array([0.59780156]), 'betas': array([5.9356019])}",-0.9228882993735672,0.0,NELDER_MEAD
219,1,,220,"{'gammas': array([0.63034944]), 'betas': array([5.97285599])}",-0.9233959061088975,0.0,NELDER_MEAD
